Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
1.25	N0	combined	Drop	0	0	0	0
1.25	N1	combined	Drop	0	0	0	0
1.25	N2	combined	Drop	0	0	0	0
1.25	N3	combined	Drop	0	0	0	0
1.25	N4	combined	Drop	0	0	0	0
1.25	N5	combined	Drop	0	0	0	0
1.3	N0	combined	Drop	0	0	0	0
1.3	N1	combined	Drop	0	0	0	0
1.3	N2	combined	Drop	0	0	0	0
1.3	N3	combined	Drop	0	0	0	0
1.3	N4	combined	Drop	0	0	0	0
1.3	N5	combined	Drop	0	0	0	0
1.35	N0	combined	Drop	0	0	0	0
1.35	N1	combined	Drop	0	0	0	0
1.35	N2	combined	Drop	0	0	0	0
1.35	N3	combined	Drop	0	0	0	0
1.35	N4	combined	Drop	0	0	0	0
1.35	N5	combined	Drop	0	0	0	0
1.4	N0	combined	Drop	0	0	0	0
1.4	N1	combined	Drop	0	0	0	0
1.4	N2	combined	Drop	0	0	0	0
1.4	N3	combined	Drop	0	0	0	0
1.4	N4	combined	Drop	0	0	0	0
1.4	N5	combined	Drop	0	0	0	0
1.45	N0	combined	Drop	0	0	0	0
1.45	N1	combined	Drop	0	0	0	0
1.45	N2	combined	Drop	0	0	0	0
1.45	N3	combined	Drop	0	0	0	0
1.45	N4	combined	Drop	0	0	0	0
1.45	N5	combined	Drop	0	0	0	0
1.5	N0	combined	Drop	0	0	0	0
1.5	N1	combined	Drop	0	0	0	0
1.5	N2	combined	Drop	0	0	0	0
1.5	N3	combined	Drop	0	0	0	0
1.5	N4	combined	Drop	0	0	0	0
1.5	N5	combined	Drop	0	0	0	0
1.55	N0	combined	Drop	0	0	0	0
1.55	N1	combined	Drop	0	0	0	0
1.55	N2	combined	Drop	0	0	0	0
1.55	N3	combined	Drop	0	0	0	0
1.55	N4	combined	Drop	0	0	0	0
1.55	N5	combined	Drop	0	0	0	0
1.6	N0	combined	Drop	0	0	0	0
1.6	N1	combined	Drop	0	0	0	0
1.6	N2	combined	Drop	0	0	0	0
1.6	N3	combined	Drop	0	0	0	0
1.6	N4	combined	Drop	0	0	0	0
1.6	N5	combined	Drop	0	0	0	0
1.65	N0	combined	Drop	0	0	0	0
1.65	N1	combined	Drop	0	0	0	0
1.65	N2	combined	Drop	0	0	0	0
1.65	N3	combined	Drop	0	0	0	0
1.65	N4	combined	Drop	0	0	0	0
1.65	N5	combined	Drop	0	0	0	0
1.7	N0	combined	Drop	0	0	0	0
1.7	N1	combined	Drop	0	0	0	0
1.7	N2	combined	Drop	0	0	0	0
